,Date Published,Study,Study Link,Journal,Study Type,Factors Described,Influential,Excerpt,Measure of Evidence,Added on
0,2020-05-08,"Does weather affect the growth rate of COVID-19, a study to comprehend transmission dynamics on human health",https://doi.org/10.1101/2020.04.29.20085795,medRXIV,Simulation,Temperature,Y,Temperature is the most influential parameter that reduces the growth at the rate of 13-16 cases/day with a 1°C rise in temperature.,"countries: USA, Europe, China, Canada, Siberia, Africa, India",5/9/2020
1,2020-05-03,Temperature Decreases Spread Parameters of the New Covid-19 Case Dynamics,https://doi.org/10.3390/biology9050094,Biology,Simulation,Temperature,Y,"Results indicate that high temperatures diminish initial contagion rates, but seasonal temperature effects at later stages of the epidemy remain questionable",countries: 5,5/9/2020
2,2020-04-27,Association between climate variables and global transmission oF SARS-CoV-2,https://doi.org/10.1016/j.scitotenv.2020.138997,Science of the Total Enviroment,Simulation,Temperature,Y,An increase in the average daily temperature by one degree Fahrenheit reduced the number of cases by approximately 6.4 cases/day. COVID-19 mortality showed no significant association with temperature.,countries: 249,5/9/2020
3,2020-04-27,Association between climate variables and global transmission oF SARS-CoV-2,https://doi.org/10.1016/j.scitotenv.2020.138997,Science of the Total Enviroment,Simulation,Precipitation,Y,"For each average inch/day, there was an increase of 56.01 cases/day",countries: 249,5/9/2020
4,2020-04-24,The correlation between the spread of COVID-19 infections and weather variables in 30 Chinese provinces and the impact of Chinese government mitigation plans,https://www.ncbi.nlm.nih.gov/pubmed/32373996,European Review for Medical and Pharmacological Sciences,Ecological Regression,"Relative Humidity, Pressure, Wind Speed, Wind Direction, Rainfall Rate, Snowfall Rate, and Snow Depth",N,"These findings indicate that weather conditions, particularly higher temperatures and short-wave radiation, increase the number of confirmed, fatal, and recovered cases in most of the Chinese provinces.",countries: China; provinces: 26,5/9/2020
5,2020-04-24,The correlation between the spread of COVID-19 infections and weather variables in 30 Chinese provinces and the impact of Chinese government mitigation plans,https://www.ncbi.nlm.nih.gov/pubmed/32373996,European Review for Medical and Pharmacological Sciences,Ecological Regression,Temperature,Y,"These findings indicate that weather conditions, particularly higher temperatures and short-wave radiation, increase the number of confirmed, fatal, and recovered cases in most of the Chinese provinces.",countries: China; provinces: 26,5/9/2020
6,2020-04-24,The correlation between the spread of COVID-19 infections and weather variables in 30 Chinese provinces and the impact of Chinese government mitigation plans,https://www.ncbi.nlm.nih.gov/pubmed/32373996,European Review for Medical and Pharmacological Sciences,Ecological Regression,Short Wave Radiation,Y,"These findings indicate that weather conditions, particularly higher temperatures and short-wave radiation, increase the number of confirmed, fatal, and recovered cases in most of the Chinese provinces.",countries: China; provinces: 26,5/9/2020
7,2020-04-22,Seasonality and uncertainty in COVID-19 growth rates,https://doi.org/10.1101/2020.04.19.20071951,medRXIV,Ecological Regression,Temperature,Y,"We demonstrate that COVID-19 growth rate increases with reduced ultraviolet light,  higher temperatures, and lower relative humidity",countries: 128; provinces: 98,5/9/2020
8,2020-04-22,Seasonality and uncertainty in COVID-19 growth rates,https://doi.org/10.1101/2020.04.19.20071951,medRXIV,Ecological Regression,Humidity,Y,"We demonstrate that COVID-19 growth rate increases with reduced ultraviolet light,  higher temperatures, and lower relative humidity",countries: 128; provinces: 98,5/9/2020
9,2020-04-22,Seasonality and uncertainty in COVID-19 growth rates,https://doi.org/10.1101/2020.04.19.20071951,medRXIV,Ecological Regression,UV Radiation,Y,"We demonstrate that COVID-19 growth rate increases with reduced ultraviolet light,  higher temperatures, and lower relative humidity",countries: 128; provinces: 98,5/9/2020
10,2020-04-21,Effect of weather on COVID-19 spread in the US: A prediction model for India in 2020,https://doi.org/10.1016/j.scitotenv.2020.138860,Science of the Total Enviroment,Ecological Regression,Temperature,Y,"In the US, once the number of newcases in a 10-day interval went over 10,000, the majority of the caseswere found to be reported in states experiencing absolute humidity(AH) in a narrow range of 4 to 6 g/m3, and temperature (T) in a widerrange of 4 °C–11 °C",countries: USA; states: 50,5/9/2020
11,2020-04-21,Effect of weather on COVID-19 spread in the US: A prediction model for India in 2020,https://doi.org/10.1016/j.scitotenv.2020.138860,Science of the Total Enviroment,Ecological Regression,Humidty,Y,"In the US, once the number of newcases in a 10-day interval went over 10,000, the majority of the caseswere found to be reported in states experiencing absolute humidity(AH) in a narrow range of 4 to 6 g/m3, and temperature (T) in a widerrange of 4 °C–11 °C",countries: USA; states: 50,5/9/2020
12,2020-04-17,Investigation of effective climatology parameters on COVID-19 outbreak in Iran,https://doi.org/10.1016/j.scitotenv.2020.138705,Science of the Total Enviroment,Ecological Regression,Temperature and Precipitation,N,Other variables such as precipitation and air temperature up to this point in the study were not significantly correlated with the COVID-19 outbreak,countries: Iran,4/23/2020
13,2020-04-17,Investigation of effective climatology parameters on COVID-19 outbreak in Iran,https://doi.org/10.1016/j.scitotenv.2020.138705,Science of the Total Enviroment,Ecological Regression,Wind Speed,Y,"Areas with low values of wind speed, humidity, and solar radiation exposure have a direct relationship to a high rate of infection that support the virus's survival",countries: Iran,4/23/2020
14,2020-04-17,Investigation of effective climatology parameters on COVID-19 outbreak in Iran,https://doi.org/10.1016/j.scitotenv.2020.138705,Science of the Total Enviroment,Ecological Regression,Solar Radiation,Y,"Areas with low values of wind speed, humidity, and solar radiation exposure have a direct relationship to a high rate of infection that support the virus's survival",countries: Iran,4/23/2020
15,2020-04-17,Investigation of effective climatology parameters on COVID-19 outbreak in Iran,https://doi.org/10.1016/j.scitotenv.2020.138705,Science of the Total Enviroment,Ecological Regression,Humidity,Y,"Areas with low values of wind speed, humidity, and solar radiation exposure have a direct relationship to a high rate of infection that support the virus's survival",countries: Iran,4/23/2020
16,2020-04-16,Climate variability and seasonal weather related to COVID-19,https://doi.org/10.25082/AHB.2020.01.002,Advances in Health and Behavior,Ecological Regression,Temperature,Y,Relatively higher temperature and relative humidity expected especially during the second half of May will potentially reduce the transmission of COVID-19,cities: Skopje,4/22/2020
17,2020-04-16,Climate variability and seasonal weather related to COVID-19,https://doi.org/10.25082/AHB.2020.01.002,Advances in Health and Behavior,Ecological Regression,Humidity,Y,Relatively higher temperature and relative humidity expected especially during the second half of May will potentially reduce the transmission of COVID-19,cities: Skopje,4/22/2020
18,2020-04-14,Relationship between Average Daily Temperature and Average Cumulative Daily Rate of Confirmed Cases of COVID-19,https://doi.org/10.1101/2020.04.10.20059337,medRXIV,Ecological Regression,Temperature,Y,"We found that when there is a significant difference in the daily mean temperature between two regions of a country, a significant difference exists also in the average cumulative daily rate of confirmed cases.",countries: 5,4/25/2020
19,2020-04-14,Global COVID-19 transmission rate is influenced by precipitation seasonality and the speed of climate temperature warming,https://doi.org/10.1101/2020.04.10.20060459,medRXIV,Ecological Regression,Temperature,Y,The temperature negatively correlated with the growth rate of COVID-19 cases,countries: globally; timeline: January 22 - April 6,4/23/2020
20,2020-04-14,Global COVID-19 transmission rate is influenced by precipitation seasonality and the speed of climate temperature warming,https://doi.org/10.1101/2020.04.10.20060459,medRXIV,Ecological Regression,Precipitation,Y,COVID-19 cases showed a correlation with precipitation seasonality and warming velocity,countries: globally; timeline: January 22 - April 6,4/23/2020
21,2020-04-14,Global COVID-19 transmission rate is influenced by precipitation seasonality and the speed of climate temperature warming,https://doi.org/10.1101/2020.04.10.20060459,medRXIV,Ecological Regression,"Wind speed, Humidity, and Solar Radiation",N,"Contributions of wind speed, humidity, and solar radiaition was limited",countries: globally; timeline: January 22 - April 6,4/23/2020
22,2020-04-09,Impact of meteorological factors on the COVID-19 transmission: A multi-city study in China,https://doi.org/10.1016/j.scitotenv.2020.138513,Science of the Total Enviroment,Ecological Regression,Temperature,Y,"Low temperature, mild diurnal temperature range, and low humidity likely favor transmission",countries: China; provinces: 30,4/23/2020
23,2020-04-09,Impact of meteorological factors on the COVID-19 transmission: A multi-city study in China,https://doi.org/10.1016/j.scitotenv.2020.138513,The Science of the total environment,Ecological Regression,Humdiity,Y,"Low temperature, mild diurnal temperature range, and low humidity likely favor transmission",countries: China; provinces: 30,4/22/2020
24,2020-04-09,Climatic influences on the worldwide spread of SARS-CoV-2,https://doi.org/10.1101/2020.03.19.20038158,medRXIV,Simulation,Temperature,Y,"The two major predictive variables, at the current state of viral spread (data of March 4) are the min temperature of the coldest month, (permutation importance 27.4%) and mean temperature of the wettest quarter (permutation importance 20.9%).",-,4/25/2020
25,2020-04-09,Climatic influences on the worldwide spread of SARS-CoV-2,https://doi.org/10.1101/2020.03.19.20038158,medRXIV,Simulation,Precipitation,Y,"The two major predictive variables, at the current state of viral spread (data of March 4) are the min temperature of the coldest month, (permutation importance 27.4%) and mean temperature of the wettest quarter (permutation importance 20.9%).",-,4/25/2020
26,2020-04-08,No Association of COVID-19 transmission with temperature or UV radiation in Chinese cities,https://erj.ersjournals.com/content/early/2020/04/01/13993003.00517-2020,European Respiratory Journal,Ecological Regression,"Temperature, and UV Radiaition",N,Temperature and UV Radition held no association with Cumulative Incidence Rate,cities: 224,4/23/2020
27,2020-04-07,Spread of SARS-CoV-2 Coronavirus likely to be constrained by climate,https://doi.org/10.1101/2020.03.12.20034728,medRXIV,Ecological Regression,Temperature,Y,"According to the models, temperate warm and cold climates are more favorable to spread of the virus, whereas arid and tropical climates are less favorable",countries: globally; timeline: January 22 - March 23,4/22/2020
28,2020-04-07,Spread of SARS-CoV-2 Coronavirus likely to be constrained by climate,https://doi.org/10.1101/2020.03.12.20034728,medRXIV,Ecological Regression,Humidity,Y,"According to the models, temperate warm and cold climates are more favorable to spread of the virus, whereas arid and tropical climates are less favorable",countries: globally; timeline: January 22 - March 23,4/22/2020
29,2020-04-07,Spread of SARS-CoV-2 Coronavirus likely to be constrained by climate,https://doi.org/10.1101/2020.03.12.20034728,medRXIV,Ecological Regression,Actual Evapotranspiration and Shortwave Radiation,N,"According to the models, temperate warm and cold climates are more favorable to spread of the virus, whereas arid and tropical climates are less favorable",countries: globally; timeline: January 22 - March 23,4/22/2020
30,2020-04-06,"Temperature, Humidity and Latitude Analysis to Predict Potential Spread and Seasonality for COVID-19",https://dx.doi.org/10.2139/ssrn.3550308,SSRN,Eco-Epidemiological,Temperature,Y,"The distribution of the significant community outbreaks along restricted latitude, temperature, and humidity are consistent with behavior of a seasonal respiratory virus. The association between temperature and humidity in the cities affected with COVID-19 deserves special attention.",countries: globally,4/22/2020
31,2020-04-06,"Temperature, Humidity and Latitude Analysis to Predict Potential Spread and Seasonality for COVID-19",https://dx.doi.org/10.2139/ssrn.3550308,SSRN,Eco-Epidemiological,Humidity,Y,"The distribution of the significant community outbreaks along restricted latitude, temperature, and humidity are consistent with behavior of a seasonal respiratory virus. The association between temperature and humidity in the cities affected with COVID-19 deserves special attention.",countries: globally,4/22/2020
32,2020-04-06,"Temperature, Humidity and Latitude Analysis to Predict Potential Spread and Seasonality for COVID-19",https://dx.doi.org/10.2139/ssrn.3550308,SSRN,Eco-Epidemiological,Latitude,N,"The distribution of the significant community outbreaks along restricted latitude, temperature, and humidity are consistent with behavior of a seasonal respiratory virus. The association between temperature and humidity in the cities affected with COVID-19 deserves special attention.",countries: globally,4/22/2020
33,2020-04-04,"Correlation between weather and Covid-19 pandemic in Jakarta, Indonesia",https://doi.org/10.1016/j.scitotenv.2020.138436,Science of the Total Enviroment,Ecological Regression,Temperature,Y,"We found only temperature average was correlated with Covid-19, with the lowest average temperature of 26.1 °C and the highest temperature of 28.6 °C.",cities: Jakarta,4/22/2020
34,2020-04-04,"Correlation between weather and Covid-19 pandemic in Jakarta, Indonesia",https://doi.org/10.1016/j.scitotenv.2020.138436,Science of the Total Enviroment,Ecological Regression,"Humidity, and Rainfall",N,"We found only temperature average was correlated with Covid-19, with the lowest average temperature of 26.1 °C and the highest temperature of 28.6 °C.",cities: Jakarta,4/22/2020
35,2020-04-03,The Effect of Temperature Upon Transmission of COVID-19: Australia And Egypt Case Study.,https://dx.doi.org/10.2139/ssrn.3567639,SSRN,Ecological Regression,Temperature,Y,"The study expects that, excluding the impact of other factors, the countries of the northern hemisphere will turn to more hot seasons, which means low virus activity and weak transmission","countries: Egpyt, Australia",4/23/2020
36,2020-03-31,"Eco-epidemiological assessment of the COVID-19 epidemic in China, January-February 2020",https://doi.org/10.1101/2020.03.29.20046565,medRXIV,Ecological Regression,Temperature,Y,"Adjusted incidence rate ratios suggested brighter, warmer and drier conditions were associated with lower incidence.",cases: 18069,4/22/2020
37,2020-03-31,"Eco-epidemiological assessment of the COVID-19 epidemic in China, January-February 2020",https://doi.org/10.1101/2020.03.29.20046565,medRXIV,Ecological Regression,Solar Radiation,Y,"Adjusted incidence rate ratios suggested brighter, warmer and drier conditions were associated with lower incidence.",cases: 18069,4/22/2020
38,2020-03-31,"Eco-epidemiological assessment of the COVID-19 epidemic in China, January-February 2020",https://doi.org/10.1101/2020.03.29.20046565,medRXIV,Ecological Regression,Precipitation,Y,"Adjusted incidence rate ratios suggested brighter, warmer and drier conditions were associated with lower incidence.",cases: 18069,4/22/2020
39,2020-03-30,Association between ambient temperature and COVID-19 infection in 122 cities from China,https://doi.org/10.1016/j.scitotenv.2020.138201,Science of the Total Enviroment,Ecological Regression,Temperature,Y,"The exposure-response curves suggested that the relationship between mean temperature and COVID-19 confirmed cases was approximately linear in the range of <3 °C and became flat above 3 °C. When mean temperature (lag0–14) was below 3 °C, each 1 °C rise was associated with a 4.861% (95% CI: 3.209–6.513) increase in the daily number of COVID-19 confirmed cases.",countries: China; cities: 122,4/23/2020
40,2020-03-27,Temperature dependence of COVID-19 transmission,https://doi.org/10.1101/2020.03.26.20044529,medRXIV,Ecological Regression,Temperature,Y,"Results support the expectation that with growing temperatures the coronavirus crisis should become milder in the coming few months, for countries in the Northern Hemisphere.",countries: 88,4/22/2020
41,2020-03-27,Climate affects global patterns of COVID-19 early outbreak dynamics,https://doi.org/10.1101/2020.03.23.20040501,medRXIV,Ecological Regression,Temperature,Y,Temperature and humidity strongly impact the variation of the growth rate of Covid-19 cases across the globe.,countries: 189,4/25/2020
42,2020-03-27,Climate affects global patterns of COVID-19 early outbreak dynamics,https://doi.org/10.1101/2020.03.23.20040501,medRXIV,Ecological Regression,Humidty,Y,Temperature and humidity strongly impact the variation of the growth rate of Covid-19 cases across the globe.,countries: 189,4/25/2020
43,2020-03-26,"Effects of temperature variation and humidity on the death of COVID-19 in Wuhan, China",https://doi.org/10.1016/j.scitotenv.2020.138226,Science of the Total Enviroment,Ecological Regression,Temperature,Y,"Generally, the curves tended to be not associated with COVID-19 mortality for DTR but were strongly positive for temperature. In addition, the curves associated with relative humidity and absolute humidity presented similar linear trends, which indicated that the higher level of humidity might cause decrease in the COVID-19 mortality.",countries: China; cities: Wuhan,4/22/2020
44,2020-03-26,Causal empirical estimates suggest COVID-19 transmission rates are highly seasonal,https://doi.org/10.1101/2020.03.26.20044420,medRXIV,Ecological Regression,Temperature,Y,COVID-19 transmission to fall in Northern Hemisphere countries and increase in Southern hemisphere countries between March-July 2020,countries: globaly; timeline: January 22 - March 15,4/22/2020
45,2020-03-26,"Effects of temperature variation and humidity on the death of COVID-19 in Wuhan, China",https://doi.org/10.1016/j.scitotenv.2020.138226,Science of the Total Enviroment,Ecological Regression,Temperature,Y,"Generally, the curves tended to be not associated with COVID-19 mortality for DTR but were strongly positive for temperature. In addition, the curves associated with relative humidity and absolute humidity presented similar linear trends, which indicated that the higher level of humidity might cause decrease in the COVID-19 mortality.",countries: China; cities: Wuhan,4/22/2020
46,2020-03-26,"Effects of temperature variation and humidity on the death of COVID-19 in Wuhan, China",https://doi.org/10.1016/j.scitotenv.2020.138226,Science of the Total Enviroment,Ecological Regression,Humidity,Y,"Generally, the curves tended to be not associated with COVID-19 mortality for DTR but were strongly positive for temperature. In addition, the curves associated with relative humidity and absolute humidity presented similar linear trends, which indicated that the higher level of humidity might cause decrease in the COVID-19 mortality.",countries: China; cities: Wuhan,4/22/2020
47,2020-03-24,The impact of temperature and absolute humidity on the coronavirus disease 2019 (COVID-19) outbreak - evidence from China,https://doi.org/10.1101/2020.03.22.20038919,medRXIV,Ecological Regression,Temperature,Y,COVID-19 incidence changed with temperature as daily incidence decreased when the temperature rose.,countries: China; provinces: 31,4/22/2020
48,2020-03-24,The impact of temperature and absolute humidity on the coronavirus disease 2019 (COVID-19) outbreak - evidence from China,https://doi.org/10.1101/2020.03.22.20038919,medRXIV,Ecological Regression,Humidity,N,No significant association between COVID-19 incidence and absolute humidity was observed in distributed lag nonlinear models.,countries: China; provinces: 31,4/22/2020
49,2020-03-16,Transmissibility of COVID-19 and its association with temperature and humidity,https://dx.doi.org/10.21203/rs.3.rs-17715/v1,Europe PMC,Ecological Regression,Temperature,Y,"R0 negatively correlated with both temperature and humidity, which was significant at the 0.01 level.",countries: China; cities: 11,4/22/2020
50,2020-03-16,Transmissibility of COVID-19 and its association with temperature and humidity,https://dx.doi.org/10.21203/rs.3.rs-17715/v1,Europe PMC,Ecological Regression,Humidity,Y,"R0 negatively correlated with both temperature and humidity, which was significant at the 0.01 level.",countries: China; cities: 11,4/22/2020
51,2020-03-12,The Role of Environmental Factors on Transmission Rates of the COVID-19 Outbreak: An Initial Assessment in Two Spatial Scales.,http://dx.doi.org/10.2139/ssrn.3552677,SSRN,Ecological Regression,Temperature,Y,"Ambient temperature appears to be associated to COVID-19 transmission. Temperature showed a negative relationship, indicating that higher temperatures appeared to have lower COVID-19 transmission.","countries: Iran, Italy, Singapore, Japan, South Korea, China",4/23/2020
52,2020-03-12,The Role of Environmental Factors on Transmission Rates of the COVID-19 Outbreak: An Initial Assessment in Two Spatial Scales.,http://dx.doi.org/10.2139/ssrn.3552677,SSRN,Ecological Regression,Humidity,N,"Our analysis suggests that absolute humidity was not robustly associated with Rproxy, but these results need to be interpreted carefully given the monotonic functional relationship between humidity and temperature (Clausius–Clapeyron relation).","countries: Iran, Italy, Singapore, Japan, South Korea, China",4/23/2020
53,2020-03-10,High Temperature and High Humidity Reduce the Transmission of COVID-19,https://dx.doi.org/10.2139/ssrn.3551767,SSRN,Ecological Regression,Temperature,Y,We find the high temperature and relative humidity reduce the transmission of COVID-19 both with 1% significance levels.,countries: China; cities: 100,4/22/2020
54,2020-03-10,High Temperature and High Humidity Reduce the Transmission of COVID-19,https://dx.doi.org/10.2139/ssrn.3551767,SSRN,Ecological Regression,Humidity,Y,We find the high temperature and relative humidity reduce the transmission of COVID-19 both with 1% significance levels.,countries: China; cities: 100,4/22/2020
55,2020-03-06,"The Effects of ""Fangcang, Huoshenshan, and Leishenshan"" Makeshift Hospitals and Temperature on the Mortality of COVID-19",https://doi.org/10.1101/2020.02.26.20028472,medRXIV,Eco-epidemological,Temperature,Y,"Mortality of confirmed cases was found to be significantly correlated with AT both in Wuhan (r = -0.441, P = 0.012) and Hubei (r = -0.440, P = 0.012).",cities: Wuhan,4/23/2020
56,2020-02-25,Temperature significant change COVID-19 Transmission in 429 cities,https://doi.org/10.1101/2020.02.22.20025791,SSRN,Ecological Regression,Temperature,Y,"Based on our study, it is estimated that when the temperature reaches 30℃, the cumulative number of cases would only increase by 3.38. This indicates that the virus is highly sensitive to high temperature that would prevent the virus from spreading",cases: 24139,4/22/2020
57,2020-02-17,The role of absolute humidity on transmission rates of the COVID-19 outbreak,https://doi.org/10.1101/2020.02.12.20022467,medRXIV,Ecological Regression,Temperature,Y,"The regression model, demonstrates that both absolute humidity and temperature are associated with local exponential growth of COVID-19 across provinces in China and other affected countries. Absolute humidity and tem- perature yielded a positive relationship and a slight negative relationship respectively.",countries: China; provinces: 26,4/22/2020
58,2020-02-17,The role of absolute humidity on transmission rates of the COVID-19 outbreak,https://doi.org/10.1101/2020.02.12.20022467,medRXIV,Ecological Regression,Humidity,Y,"The regression model, demonstrates that both absolute humidity and temperature are associated with local exponential growth of COVID-19 across provinces in China and other affected countries. Absolute humidity and tem- perature yielded a positive relationship and a slight negative relationship respectively.",countries: China; provinces: 26,4/22/2020
