,Date,Study,Study Link,Journal,Study Type,Sample Size,Age,Sample obtained,Aymptomatic,Characteristic Related to Question 2,Excerpt,Added on
0,2020-04-28,Clinical and Transmission Dynamics Characteristics of 406 Children with Coronavirus Disease 2019 in China: A Review,https://doi.org/10.1016/j.jinf.2020.04.030,Journal of Infection,Systemic review and meta-analysis,406.0,median: 7 years; range: 2 days-16 years,-,19%,-,"Diagnosis was based on the ""Novel Coronavirus Pneumonia Diagnosis and Treatment Program (Trial Version 7)"" 7 ; 77 cases (19.0%) were asymptomatic infections,",2020-04-25
1,2020-04-24,Clinical features of pediatric patients with coronavirus disease (COVID-19),https://dx.doi.org/10.1016%2Fj.jcv.2020.104377,Elsevier Public Health Emergency Collection,Retrospective observational study,16.0,range:11 months-14 years,-,50%,-,"The illnesses were either mild (5/16, 31.3 %) or ordinary (11/16, 68.8 %), presenting as follows: asymptomatic (8/16, 50 %), fever and/or cough (8/16, 50 %).",2020-05-31
2,2020-04-24,A follow-up study of children infected with SARS-CoV-2 from Western China,https://doi.org/10.1101/2020.04.20.20073288,medRxiv,Retrospective observational study,32.0,mean:9 years; range: 6-18 years,Throat,34%,-,"Eleven children (34%) were asymptomatic, among whom six children had normal computed tomographic (CT) scan images.",2020-04-25
3,2020-04-17,Clinical Characteristics of Children with COVID-19: A Rapid Review and Meta-Analysis,https://doi.org/10.1101/2020.04.13.20064352,medRxiv,Systemic review and meta-analysis,1667.0,range: 0-18 years,-,19%,-,"The Chinese CDC also pointed out that 889 (1%) patients with COVID-19 were asymptomatic (82); in our study, about 19% of children were completely asymptomatic, which is higher than the average level of the whole patient significantly.",2020-04-25
4,2020-04-16,"Clinical characteristics of COVID-19 in children compared with adults in Shandong Province, China",https://dx.doi.org/10.1007%2Fs15010-020-01427-2,,Retrospective observational study,14.0,median: 6.2 years; range: 0–16 years,Throat,57%,-,There were 8 (57.1%) asymptomatic cases and 6 (42.9%) symptomatic cases among the 14 children cases.,2020-05-27
5,2020-04-16,Clinical characteristics and diagnostic challenges of pediatric COVID-19: A systematic review and meta-analysis,https://doi.org/10.1016/j.jfma.2020.04.007,Journal of the Formosan Medical Association,Systemic review and meta-analysis,93.0,range: 0-18 years,-,26%,-,There are 26% children are asymptomatic.,2020-04-25
6,2020-03-26,Epidemiological and Clinical Characteristics of Children with Coronavirus Disease 2019,https://doi.org/10.1101/2020.03.19.20027078,medRxiv,Case Series,68.0,range: 3 months- 10 years,Nasopharyngeal,27.00%,-,"There was only one severe pneumonia case among the 74 infected children, and the rest consisted of 20 cases of asymptomatic infection, 24 acute upper respiratory tract infection cases and 29 mild pneumonia cases, accounting for 27.03%, 32.43% and 39.19% respectively.",2020-04-15
7,2020-03-25,"Clinical and epidemiological features of 36 children with coronavirus disease 2019 (COVID-19) in Zhejiang, China: an observational cohort study",https://doi.org/10.1016/S1473-3099(20)30198-5,The Lancet,Case Series,36.0,mean: 8.3 years; range: 1-16 years,Nasopharyngeal,28.00%,-,"17 (47%) of 36 children had mild clinical type, with ten (28%) patients asymptomatic and seven (19%) showing acute upper respiratory symptoms.",2020-04-08
8,2020-03-23,"High incidence of asymptomatic SARS-CoV-2 infection, Chongqing, China",https://doi.org/10.1101/2020.03.16.20037259,medRxiv,Case Series,7.0,range: 0-14 years,Nasopharyngeal,28.60%,-,"In different age groups, the proportion of asymptomatic patient was the highest(28.6%) in children group under 14,",2020-04-09
9,2020-03-18,SARS-CoV-2 Infection in Children,https://www.nejm.org/doi/10.1056/NEJMc2005073,The New England Journal of Medicine,Case Series,171.0,median: 6.7; range: 1 day–15 years,Nasopharyngeal; Throat,15.80%,-,A total of 27 patients (15.8%) did not have any symptoms of infection or radiologic features of pneumonia.,2020-04-15
10,2020-03-16,Epidemiology of COVID-19 Among Children in China,https://doi.org/10.1542/peds.2020-0702,Pediatrics ,Retrospective observational study,2143.0,median: 7 years; IQR: 2-13 years,Nasopharyngeal; Blood,4%,-,"For the severity of patients (including both confirmed and suspected cases), 94 (4.4 %), 1091 (50.9 %) and 831 (38.8 %) patients were diagnosed as asymptomatic, mild or moderate cases, respectively, totally accounted for 94.1 % of all cases.",2020-04-09
11,2020-03-15,"The clinical and epidemiological features and hints of 82 confirmed COVID-19 pediatric cases aged 0-16 in Wuhan, China",https://doi.org/10.1101/2020.03.15.20036319,medRxiv,Retrospective observational study,82.0,range: 3 days-16 years,Throat; Rectal; Urine,10%,-,Most have mild clinical symptoms with 8 no symptoms.,2020-04-09
12,2020-03-10,"Clinical characteristics of novel coronavirus disease 2019 (COVID-19) in newborns, infants and children",https://www.sefertilidad.net/docs/covid19/Clinical_characteristics_of_novel_coronavirus_disease_2019_COVID_19_in_newborns_infants_and_children.pdf,Pediatrics & Neonatology,Retrospective observational study,9.0,range: 1-11 motnhs,-,11%,-,"Of the nine infants, four had fever, two mild upper respiratory symptoms, one asymptomatic, and two no information on symptoms.",2020-05-31
13,2020-03-02,Clinical analysis of 31 cases of 2019 novel coronavirus infection in children from six provinces (autonomous region) of northern China,https://pubmed.ncbi.nlm.nih.gov/32118389/,Chinese Journal of Pediatrics,Case Series,31.0,median: 7 years; range: 6 months-17 years,Nasopharyngeal,13%,-,"Among the 31 children, there were 4 cases of asymptomatic type (13%), 13 cases of mild type (42%), 14 cases of normal type (45%, including 3 cases of subclinical type).",2020-04-08
14,2020-03-01,"Preliminary epidemiological analysis on children and adolescents with novel coronavirus disease 2019 outside Hubei Province, China: an observational study utilizing crowdsourced data",https://www.medrxiv.org/content/10.1101/2020.03.01.20029884v2.full.pdf,medRxiv,Retrospective observational study,25.0,median: 10 years; IQR: 5-15 years ,-,8%,-,"Fever was the most common symptom, present in 17 (68.0%) of those cases, while 2 (8.0%) cases were asymptomatic.",2020-04-08
