,Date,Study,Study Link,Journal,Study Type,Factors,Infuential,Excerpt,Measure of Evidence,Added on
0,4/30/2020,Susceptibility of tree shrew to SARS-CoV-2 infection,https://doi.org/10.1101/2020.04.30.029736,bioRxiv,Transmission Study,tree shrews,N,"In conclusion, tree shrew is not as susceptible to SARS-CoV-2 infection as the reported animal models of COVID-19, though limited replication of SARS-CoV-2 and mild histopathology was detected and observed in some tissues.",detection: qPCR,6/11/2020
1,4/21/2020,Is COVID-19 the first pandemic that evolves into a panzootic?,https://pubmed.ncbi.nlm.nih.gov/32315124/,Veterinaria Italiana,Expert Review,cats,Y,2 cases of transmission to domestic cats,-,4/22/2020
2,4/21/2020,Is COVID-19 the first pandemic that evolves into a panzootic?,https://pubmed.ncbi.nlm.nih.gov/32315124/,Veterinaria Italiana,Expert Review,dogs,Y,2 cases of SARS-CoV-2 transmission to dogs,-,4/22/2020
3,4/21/2020,Is COVID-19 the first pandemic that evolves into a panzootic?,https://pubmed.ncbi.nlm.nih.gov/32315124/,Veterinaria Italiana,Expert Review,tiger,Y,4 cases of transmission to tigers,-,4/22/2020
4,4/21/2020,Is COVID-19 the first pandemic that evolves into a panzootic?,https://pubmed.ncbi.nlm.nih.gov/32315124/,Veterinaria Italiana,Expert Review,lion,Y,3 cases of transmission to lions,-,4/22/2020
5,4/19/2020,"A rapid review of evidence of infection of pets and livestock with human-associated coronavirus diseases, SARS, MERS, and COVID-19, and evidence of the fomite potential of pets and livestock",http://www.syreaf.org/wp-content/uploads/2020/04/Rapid-Review-of-pets-as-fomites_3.pdf,SYREAF,Systematic Review,cats,Y,"There is evidence from seeder models that cats and ferrets can become infected with SARSCoV-2 and this is detectable using PCR. There is evidence that cats in Wuhan, China have antibodies to SARS-CoV-2 which appears to have developed after the outbreak. ","detection: PCR, antibodies",4/22/2020
6,4/19/2020,"A rapid review of evidence of infection of pets and livestock with human-associated coronavirus diseases, SARS, MERS, and COVID-19, and evidence of the fomite potential of pets and livestock",http://www.syreaf.org/wp-content/uploads/2020/04/Rapid-Review-of-pets-as-fomites_3.pdf,SYREAF,Systematic Review,dogs,Y,"Dogs may become infected and produce antibodies, but there is no evidence that they develop clinical disease if exposed, or that they shed virus which may pose a risk to humans.","detection: PCR, antibodies",4/22/2020
7,4/19/2020,"A rapid review of evidence of infection of pets and livestock with human-associated coronavirus diseases, SARS, MERS, and COVID-19, and evidence of the fomite potential of pets and livestock",http://www.syreaf.org/wp-content/uploads/2020/04/Rapid-Review-of-pets-as-fomites_3.pdf,SYREAF,Systematic Review,ferrets,Y,There is evidence from seeder models that cats and ferrets can become infected with SARSCoV-2 and this is detectable using PCR.,"detection: PCR, antibodies",4/22/2020
8,4/19/2020,"A rapid review of evidence of infection of pets and livestock with human-associated coronavirus diseases, SARS, MERS, and COVID-19, and evidence of the fomite potential of pets and livestock",http://www.syreaf.org/wp-content/uploads/2020/04/Rapid-Review-of-pets-as-fomites_3.pdf,SYREAF,Systematic Review,pigs,N,"None of the contact animals in the study by Shi, Wen [19] 3 pigs, 3 chickens, 3 ducks) were positive for SARS-CoV-2 on PCR or antibody tests","detection: PCR, antibodies",4/22/2020
9,4/19/2020,"A rapid review of evidence of infection of pets and livestock with human-associated coronavirus diseases, SARS, MERS, and COVID-19, and evidence of the fomite potential of pets and livestock",http://www.syreaf.org/wp-content/uploads/2020/04/Rapid-Review-of-pets-as-fomites_3.pdf,SYREAF,Systematic Review,chickens,N,"None of the contact animals in the study by Shi, Wen [19] 3 pigs, 3 chickens, 3 ducks) were positive for SARS-CoV-2 on PCR or antibody tests","detection: PCR, antibodies",4/22/2020
10,4/19/2020,"A rapid review of evidence of infection of pets and livestock with human-associated coronavirus diseases, SARS, MERS, and COVID-19, and evidence of the fomite potential of pets and livestock",http://www.syreaf.org/wp-content/uploads/2020/04/Rapid-Review-of-pets-as-fomites_3.pdf,SYREAF,Systematic Review,ducks,N,"None of the contact animals in the study by Shi, Wen [19] 3 pigs, 3 chickens, 3 ducks) were positive for SARS-CoV-2 on PCR or antibody tests","detection: PCR, antibodies",4/22/2020
11,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,pigs,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
12,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,cows,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
13,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,sheep,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
14,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,horses,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
15,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,chickens,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
16,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,ducks,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
17,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,geese,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
18,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,mice,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
19,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,rats,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
20,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,guinea pigs,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
21,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,rabbits,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
22,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,monkeys,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
23,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,dogs,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
24,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,cats,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
25,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,camels,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
26,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,foxes,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
27,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,minks,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
28,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,alpacas,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
29,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,ferrets,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
30,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,bamboo rats,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
31,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,peacocks,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
32,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,eagles,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
33,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,tigers,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
34,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,rhinoceroses,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
35,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,pangolins,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
36,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,leopard cats,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
37,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,jackels,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
38,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,giant pandas,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
39,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,masked civets,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
40,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,porcupines,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
41,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,bears,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
42,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,yellow-throated martens,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
43,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,weasels,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
44,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,red pandas,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
45,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,wild boars,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
46,4/12/2020,An Overview of SARS‐CoV‐2 and Animal Infection,https://www.preprints.org/manuscript/202004.0192/v1,-,Expert Review ,bats,N,"experimentally infected Egyptian fruit bats show no symptoms of disease, moreover, they do not infect other bats [14].",-,4/22/2020
47,4/12/2020,An Overview of SARS‐CoV‐2 and Animal Infection,https://www.preprints.org/manuscript/202004.0192/v1,-,Expert Review ,pangolins,Y,These results suggest that pangolin could be a potential intermediate host for SARS-CoV-2 [18].,-,4/22/2020
48,4/12/2020,An Overview of SARS‐CoV‐2 and Animal Infection,https://www.preprints.org/manuscript/202004.0192/v1,-,Expert Review ,turtles,N,"ACE2 of turtle and snake loses its capability to bind to S protein of SARS-CoV-2, therefore these reptiles should not be considered as potential hosts for SARS-CoV-2",-,4/22/2020
49,4/12/2020,An Overview of SARS‐CoV‐2 and Animal Infection,https://www.preprints.org/manuscript/202004.0192/v1,-,Expert Review ,snakes,N,"ACE2 of turtle and snake loses its capability to bind to S protein of SARS-CoV-2, therefore these reptiles should not be considered as potential hosts for SARS-CoV-2",-,4/22/2020
50,4/12/2020,An Overview of SARS‐CoV‐2 and Animal Infection,https://www.preprints.org/manuscript/202004.0192/v1,-,Expert Review ,cats,Y,"SARS-CoV-2 infects cat populations in Wuhan during the COVID-19 outbreak based on detection of SARS-CoV-2 antibodies in those cats. Infection to those cats arise upon contact with COVID-19 patients or SARS-CoV-2 polluted environment [22]. In addition, SARS-CoV 2 has been detected in the feces and vomit of an infected pet cat with COVID-19 in Belgium indicating active replication of the virus [23].",-,4/22/2020
51,4/12/2020,An Overview of SARS‐CoV‐2 and Animal Infection,https://www.preprints.org/manuscript/202004.0192/v1,-,Expert Review ,dogs,Y,pet dogs in Hong Kong and North Italy have been infected with SARSCoV-2,-,4/22/2020
52,4/12/2020,An Overview of SARS‐CoV‐2 and Animal Infection,https://www.preprints.org/manuscript/202004.0192/v1,-,Expert Review ,tigers,Y,"A Tiger at Bronx Zoo, New York, USA has been tested positive for COVID-19",-,4/22/2020
53,4/12/2020,An Overview of SARS‐CoV‐2 and Animal Infection,https://www.preprints.org/manuscript/202004.0192/v1,-,Expert Review ,chickens,N,"chickens, ducks, and pigs are not susceptible to SARS-CoV-2 infection",-,4/22/2020
54,4/12/2020,An Overview of SARS‐CoV‐2 and Animal Infection,https://www.preprints.org/manuscript/202004.0192/v1,-,Expert Review ,ducks,N,"chickens, ducks, and pigs are not susceptible to SARS-CoV-2 infection",-,4/22/2020
55,4/12/2020,An Overview of SARS‐CoV‐2 and Animal Infection,https://www.preprints.org/manuscript/202004.0192/v1,-,Expert Review ,pigs,N,"chickens, ducks, and pigs are not susceptible to SARS-CoV-2 infection",-,4/22/2020
56,4/12/2020,An Overview of SARS‐CoV‐2 and Animal Infection,https://www.preprints.org/manuscript/202004.0192/v1,-,Expert Review ,mice,N,SARS-CoV-2 has very low binding affinity to ACE2 of mice,-,4/22/2020
57,4/12/2020,An Overview of SARS‐CoV‐2 and Animal Infection,https://www.preprints.org/manuscript/202004.0192/v1,-,Expert Review ,hampsters,Y,"clinical and histopathological findings of the SARS-CoV-2-infeted hamster closely resemble the manifestations of human upper and lower respiratory tract infection with virus shedding in respiratory droplets and faeces. Additionally, the virus transmits to naïve contact hamsters in close contact with infected ones",-,4/22/2020
58,4/12/2020,An Overview of SARS‐CoV‐2 and Animal Infection,https://www.preprints.org/manuscript/202004.0192/v1,-,Expert Review ,ferrets,Y,"clinical and histopathological findings of the SARS-CoV-2-infeted hamster closely resemble the manifestations of human upper and lower respiratory tract infection with virus shedding in respiratory droplets and faeces. Additionally, the virus transmits to naïve contact hamsters in close contact with infected ones",-,4/22/2020
59,4/12/2020,An Overview of SARS‐CoV‐2 and Animal Infection,https://www.preprints.org/manuscript/202004.0192/v1,-,Expert Review ,rhesus macaques,Y,primary infected monkeys develop immunity against SARS-CoV-2,-,4/22/2020
60,4/11/2020,COVID-19 and pets: When pandemic meets panic,https://doi.org/10.1016/j.fsir.2020.100090,Forensic Science International: Reports,Expert Review,cats,Y,"In late March 2020, health officials in Belgium reported that a cat from Liège province had also tested positive for SARS-CoV-2. On March 31, officials in Hong Kong reported that a cat was being kept in quarantine after testing positive for SARS-CoV-2 via oral, nasal, and rectal swabs.",-,4/22/2020
61,4/11/2020,COVID-19 and pets: When pandemic meets panic,https://doi.org/10.1016/j.fsir.2020.100090,Forensic Science International: Reports,Expert Review,dogs,Y,"Shortly after the Pomeranian in Hong Kong tested positive for SARS-CoV-2, in March 2020, a second dog in Hong Kong also tested positive for the virus.",-,4/22/2020
62,4/11/2020,COVID-19 and pets: When pandemic meets panic,https://doi.org/10.1016/j.fsir.2020.100090,Forensic Science International: Reports,Expert Review,tigers,Y,a female Malayan tiger at the Wildlife Conservation Society’s Bronx Zoo in New York City also tested positive for SARS-CoV-2 on April 5,-,4/22/2020
63,4/9/2020,Absence of SARS-CoV-2 infection in cats and dogs in close contact with a cluster of COVID-19 patients in a veterinary campus,https://doi.org/10.1101/2020.04.07.029090,bioRxiv,Case Series,cats,N,Our study points to undetectable interspecific transmission of the SARS-CoV-2 virus between COVID-19 patients and domestic dogs or cats under the natural exposure conditions.,"detection: LIPS assay, qPCR",4/22/2020
64,4/9/2020,Absence of SARS-CoV-2 infection in cats and dogs in close contact with a cluster of COVID-19 patients in a veterinary campus,https://doi.org/10.1101/2020.04.07.029090,bioRxiv,Case Series,dogs,N,Our study points to undetectable interspecific transmission of the SARS-CoV-2 virus between COVID-19 patients and domestic dogs or cats under the natural exposure conditions.,"detection: LIPS assay, qPCR",4/22/2020
65,4/6/2020,Infection and Rapid Transmission of SARS-CoV-2 in Ferrets,https://doi.org/10.1016/j.chom.2020.03.023,Cell Host & Microbe,Transmission Study,ferrets,Y,SARS-CoV-2 was found to efficiently infect ferrets.,"detection: qPCR, IHC",4/22/2020
66,4/3/2020,Can companion animals become infected with Covid-19?,http://dx.doi.org/10.1136/vr.m1322,Veterinary Record,Expert Review,cats,Y,"On 31 March, a third case, this time in a cat, was reported in Hong Kong by the GHKSAR . The cat had tested positive to Covid-19 on RT-PCR from oral, nasal and faecal samples but did not show any clinical signs of disease. Positive viral SARS-CoV-2 genes were also recently found in vomit and faeces from a cat tested at the University of Liège in Belgium, but more information is needed before any conclusions can be made. The consensus remains at this time that there is no evidence that infected pets are a source of infection for people or other pets.","detection: RT-PCR, serology",4/22/2020
67,4/3/2020,Can companion animals become infected with Covid-19?,http://dx.doi.org/10.1136/vr.m1322,Veterinary Record,Expert Review,dogs,Y,"This latest report of seroconversion means the dog created antibodies against the virus, suggesting that the weak infection would have caused an immune response from the dog and further supports a true infection caused by human-to-animal transmission. As of 25 March the AFCD had conducted tests on 17 dogs and eight cats, of which only two dogs had tested positive. Both dogs later tested negative on RT-PCR, indicating they were free of infection. The consensus remains at this time that there is no evidence that infected pets are a source of infection for people or other pets.","detection: RT-PCR, serology",4/22/2020
68,4/3/2020,SARS-CoV-2 neutralizing serum antibodies in cats: a serological investigation,https://doi.org/10.1101/2020.04.01.021196,bioRxiv,Serological Survey,cats,Y,"These results demonstrated that SARS-CoV-2 has infected cat populations in Wuhan, implying that this risk could also occur at other outbreak regions. ","detection: ELISA, western blot",4/22/2020
69,3/31/2020,"Susceptibility of ferrets, cats, dogs, and different domestic animals to SARS-coronavirus-2",https://doi.org/10.1101/2020.03.30.015347,bioRxiv,Transmission Study,ferrets,Y,"These results indicate that SARS-CoV-2 can replicate in the upper respiratory tract of ferrets for up to eight days, without causing severe disease or death.","detection: qPCR, virus titration, ELISA, histology",4/22/2020
70,3/31/2020,"Susceptibility of ferrets, cats, dogs, and different domestic animals to SARS-coronavirus-3",https://doi.org/10.1101/2020.03.30.015347,bioRxiv,Transmission Study,cats,Y,"These results indicate that SARS-CoV-2 can replicate efficiently in cats, with younger cats being more permissive and, perhaps more importantly, the virus can transmit between cats via respiratory droplets.","detection: qPCR, virus titration, ELISA, histology",4/22/2020
71,3/31/2020,"Susceptibility of ferrets, cats, dogs, and different domestic animals to SARS-coronavirus-4",https://doi.org/10.1101/2020.03.30.015347,bioRxiv,Transmission Study,dogs,Y,"Two virus-inoculated dogs seroconverted; the other two virus-inoculated dogs and the two contact dogs were all seronegative for SARS-CoV-2 according to the ELISA (Table 1, fig S7). These results indicate that dogs have low susceptibility to SARS-CoV-2.","detection: qPCR, virus titration, ELISA, histology",4/22/2020
72,3/31/2020,"Susceptibility of ferrets, cats, dogs, and different domestic animals to SARS-coronavirus-5",https://doi.org/10.1101/2020.03.30.015347,bioRxiv,Transmission Study,pigs,N,"These results indicate that pigs, chickens, and ducks are not susceptible to SARS-CoV-2.","detection: qPCR, virus titration, ELISA, histology",4/22/2020
73,3/31/2020,"Susceptibility of ferrets, cats, dogs, and different domestic animals to SARS-coronavirus-6",https://doi.org/10.1101/2020.03.30.015347,bioRxiv,Transmission Study,chickens,N,"These results indicate that pigs, chickens, and ducks are not susceptible to SARS-CoV-2.","detection: qPCR, virus titration, ELISA, histology",4/22/2020
74,3/31/2020,"Susceptibility of ferrets, cats, dogs, and different domestic animals to SARS-coronavirus-7",https://doi.org/10.1101/2020.03.30.015347,bioRxiv,Transmission Study,ducks,N,"These results indicate that pigs, chickens, and ducks are not susceptible to SARS-CoV-2.","detection: qPCR, virus titration, ELISA, histology",4/22/2020
75,43918,Coronavirus Disease 2019 (COVID-19) Outbreak: Could Pigs Be Vectors for Human Infections?,https://doi.org/10.1111/xen.12591,Xenotransplantation,Expert Review,pigs,N,So far there is no evidence that pigs can become infected with SARS‐CoV‐2 or are capable to amplify the virus.,-,43943
